Content,Author,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Tweets Count,Author Following Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude
"RT @forever_lulu: Masyarakat berbondong2 vaksin karena vaksin jd salah satu syarat mudik. 
Bagusnya cakupan vaksin jadi meningkat, herd imm…",@Fadhil_62,2022-04-11 08:08:23,in,,0.0,1127.0,,Fadhil,Anjay,22958.0,177.0,17.0,0.0,False,,
"@KAI121 min, nanti bakal ada tiket tambahan mudik ga y?",@Wilwflow95,2022-04-11 08:08:21,in,,0.0,0.0,@KAI121,Wildflower,Simple but complicated 😊,40.0,11.0,0.0,0.0,False,,
mudik dong insyaallah https://t.co/Rs4N4kLouA,@hecticsunday,2022-04-11 08:08:08,in,,0.0,0.0,,kirei,!'m so 𝘁𝗶𝗿𝗲𝗱 of lσvǝ 𝗌𝗈𝗇𝗀 🎻,357.0,86.0,1.0,0.0,False,,
dengerin ini karena lagi kangen2nya sama ibu. 2th kemarin ga mudik karena pandemi. dulu ibu suka bgt dengerin kla project.. https://t.co/HrPnBIxppe https://t.co/3VvsdzoUgF,@Gewibisonoo,2022-04-11 08:08:04,in,,0.0,0.0,,Initial Ge,,2094.0,418.0,40.0,1.0,False,,
"Jasa Raharja kembali menggelar program mudik gratis di tahun ini. Bertema “Mudik Sehat Bersama BUMN 2022”, Jasa Raharja memberikan kesempatan bagi masyarakat yang ingin mudik gratis di Lebaran tahun ini. https://t.co/My2XcMnOQU",@ariefskie,2022-04-11 08:07:50,in,,0.0,0.0,,arief skie,Penikmat ketinggian gunung di Indonesia. 🙂,5511.0,824.0,502.0,0.0,False,,
RT @Bali_Football: Ricky mudik ke Semarang lewat jalur darat pake mobil pribadinya. Pertanda mobilnya gak dibawa balik ke Bali lagi kah? 😅,@FUCKYOUUUU666,2022-04-11 08:07:36,in,,0.0,5.0,,Love is bull shit,FUCK YOU,35097.0,338.0,440.0,0.0,False,,
"RT @WidasSatyo: Sebelum vaksin jadi syarat mudik, masyarakat udah pada berbondong-bondong antri vaksin. 

Masak lupa jejak digital antrian…",@Cuteeegurls,2022-04-11 08:07:25,in,,0.0,26.0,,zent,,134674.0,1526.0,2195.0,7.0,False,,
@MWuryantati Asik dah siap2 mau mudik nih kak..,@bowosusilocom,2022-04-11 08:07:25,in,,0.0,0.0,@MWuryantati,www.bowosusilo.com,Blogger | Content Creator | Freelance Writer | IG : @bowosusilo94 | WA : 082269912322 | #BCC | #Bplus | #ISB | bowosusilo68@gmail.com,571.0,774.0,680.0,1.0,False,,
"Kemenhub Siapkan Ratusan Bus Mudik Gratis ke  Jawa Barat dan Jawa Tengah 

#Mudik2022 #inspirasinyata #sampaijauhcom

https://t.co/BgUcINnB0t",@SampaiJauhcom,2022-04-11 08:06:19,in,,0.0,0.0,,SampaiJauh,#InspirasiNyataSekitarKita,640.0,74.0,19.0,0.0,False,,
"RT @kemenhub151: Yuhuuuuuuu~ 
Mudik semakin di depan mata nih #KawulaModa kalian ada yang mudik gak nih? 

Eh iya, tau gak sih #KawulaModa…",@rhutiyyy,2022-04-11 08:06:10,in,,0.0,16.0,,rhutiyyy,,8682.0,1163.0,178.0,0.0,False,,
"RT @kemenhub151: Hal ini bertujuan agar masyarakat merasa aman dan nyaman menggunakan transportasi umum, sehingga dapat mengurangi pengguna…",@rhutiyyy,2022-04-11 08:06:07,in,,0.0,12.0,,rhutiyyy,,8682.0,1163.0,178.0,0.0,False,,
"RT @kemenhub151: Nanti kalau kalian mudik ikutin semua peraturan yang ditetapkan pemerintah ya, biar kita semua aman!😁

#PenghubungIndonesi…",@rhutiyyy,2022-04-11 08:06:05,in,,0.0,11.0,,rhutiyyy,,8682.0,1163.0,178.0,0.0,False,,
@WeLostFound Jiakh asahi back to japan hari rabu pulang kampung https://t.co/l2ROHzKMvn,@ASAHIYK,2022-04-11 08:05:56,in,,0.0,0.0,@WeLostFound,Asahi,To RP | #아사히 part @ofTrewjo can provide amusement and enjoyment also bless your ear with his voice.,2011.0,148.0,173.0,2.0,False,,
"@iyee_maa Selamat sore Kak. Mohon maaf, saat ini belum tersedia informasi terkait hal tersebut. Lalu jika untuk program mudik motor gratis merupakan kewenangan Kementerian Perhubungan (Kemenhub). |1",@KAI121,2022-04-11 08:05:35,in,,0.0,0.0,@iyee_maa,Kereta Api Indonesia,Akun Resmi Layanan Pelanggan PT Kereta Api Indonesia (Persero) | Call Center: 121 | E-mail: cs@kai.id | FB: KAI121 | IG & Tiktok: KAI121_ | Podcast: KAI121,1047792.0,18.0,1011445.0,620.0,True,,
"RT @forever_lulu: Masyarakat berbondong2 vaksin karena vaksin jd salah satu syarat mudik. 
Bagusnya cakupan vaksin jadi meningkat, herd imm…",@RakaDharma3,2022-04-11 08:05:35,in,,0.0,1127.0,,Raka Dharma🏮,RakaDharma.All Lives Matter. doesn't matter where you come from.Everyone have rights to have decent and peaceful life as long as it does not exceed the limit.,482.0,141.0,31.0,0.0,False,,
"Rekayasa Lalin Disiapkan Jelang Mudik, Jalan Dipastikan Tak Berlubang https://t.co/gZdD2kIKIF",@jawapos,2022-04-11 08:05:07,in,,0.0,0.0,,Jawa Pos,"Akun Twitter resmi Jawa Pos Media | Jawa Pos,  Selalu Ada yang Baru.",891937.0,266.0,433770.0,434.0,True,,
@urfavoritekarma Mudik🙏,@sansatuheuy,2022-04-11 08:03:30,in,,0.0,0.0,@urfavoritekarma,୧⍤⃝🚀,tempatku menggabut,11278.0,986.0,753.0,0.0,False,,
"RT @KemenkesRI: Sebelum mudik lebaran, kita perlu mempersiapkan diri dengan vaksinasi dosis lengkap &amp; booster agar tubuh tetap terlindungi…",@RadioKesehatan,2022-04-11 08:03:28,in,,0.0,1.0,,Radio Kesehatan,Mau info sehat antihoaks? dengerin Radio Kesehatan | Mengudara 24 jam | email: siaranradiokesehatan@gmail.com | nomor: 0811 874 1919,14941.0,161.0,3028.0,5.0,False,,
"RT @BMC_SURABAYA: Mudik gratis 2022 Jasa Raharja dengan Bus &amp; Kereta Api.
(Keberangkatan dari Jakarta) https://t.co/bh5byD5ZUn",@nadhiyansyah,2022-04-11 08:02:45,in,,0.0,134.0,,MartabakKejuSusu,DipotongKecilKecil,17588.0,251.0,326.0,0.0,False,,
Masyarakat Ramai Vaksinasi Booster Demi Bisa Mudik https://t.co/OPkQjCt6C1,@BatamPos,2022-04-11 08:02:44,in,,0.0,0.0,,Batampos,Twitter resmi dari https://t.co/J2yogb3Ulb,157225.0,31.0,68984.0,139.0,False,,
Ganjar Siapkan Mudik Gratis Lebaran 2022 https://t.co/w3CELfjQmX #Terbaru #2022 #ganjar #gratis #lebaran,@idnfeed_com,2022-04-11 08:02:37,in,,0.0,0.0,,IDN FEED,,4935.0,1.0,2.0,0.0,False,,
"RT @forever_lulu: Masyarakat berbondong2 vaksin karena vaksin jd salah satu syarat mudik. 
Bagusnya cakupan vaksin jadi meningkat, herd imm…",@donatminii,2022-04-11 08:02:24,in,,0.0,1127.0,,san,"so loud about Johnny, Hendery and NCT",18240.0,1085.0,650.0,6.0,False,,
@Serotoninnpils awet bgt huee ak udh ilang trs tasnya ak sempet pake buat mudik trs jebol😭,@beileish,2022-04-11 08:02:21,in,,0.0,0.0,@Serotoninnpils,𝓳𝓮𝔂,st00pid era,9505.0,0.0,0.0,0.0,False,,
"@vierda Faktor U kali kak😅, klo aku mo jenis kendaraan apa aja batas ""toleransi"" max 1,5 jam, lbh dr itu uring2an. Mudik aja flight 2.20 menit bosennya ampun, seringnya minum antimo atau ctm biar ngantuk trus tidur",@AqByu,2022-04-11 08:01:50,in,,0.0,0.0,@vierda,4rnaya,#SayaPercayaFPI 🖤,12154.0,200.0,210.0,0.0,False,,
"RT @forever_lulu: Masyarakat berbondong2 vaksin karena vaksin jd salah satu syarat mudik. 
Bagusnya cakupan vaksin jadi meningkat, herd imm…",@bingunggalau,2022-04-11 08:01:04,in,,0.0,1127.0,,mike,"alter,male.3xyo.straight
.
i got vaccinated",18164.0,2148.0,233.0,1.0,False,,
Catat Ya! Ini Syarat dan Aturan Mudik Lebaran 2022 https://t.co/rSW6ggT74c,@hajinewsonline,2022-04-11 08:01:01,in,,0.0,0.0,,Haji News,"Portal berita yang berusaha menjadi alternatif pemberitaan yang mencerahkan dan mencerdaskan, serta menguatkan pengamalan keagamaan. #hajinews #portalberita",33934.0,4.0,340.0,3.0,False,,
Arus Mudik Diprediksi Meningkat 150 Persen https://t.co/r9GkPuss6y,@jawapos,2022-04-11 08:00:57,in,,1.0,0.0,,Jawa Pos,"Akun Twitter resmi Jawa Pos Media | Jawa Pos,  Selalu Ada yang Baru.",891937.0,266.0,433770.0,434.0,True,,
Ya mudik aja atuh... Paling resikonya ngulang... https://t.co/6w7p1Yzd1e,@alfaridi,2022-04-11 08:00:50,in,ID,0.0,0.0,,alfaridi,"Hanya akun sambat. Penyintas asam urat. Coder serabutan (kalo lagi butuh duid), pesepeda (kalo lagi bangun pagi), penikmat kopi atau teh (kalo lagi pengen).",95800.0,543.0,1211.0,25.0,False,,
"Sebelum mudik lebaran, kita perlu mempersiapkan diri dengan vaksinasi dosis lengkap &amp; booster agar tubuh tetap terlindungi dari COVID-19

Saksikan Siaran Sehat bersama Dokter Reisa, sore ini pukul 15.30 WIB

Dengarkan di @RadioKesehatan atau live di IG @KemenkesRI

Dont miss it😉 https://t.co/PTFAJr1788",@KemenkesRI,2022-04-11 08:00:30,in,,2.0,1.0,,Kemenkes RI,"Kementerian Kesehatan RI; Jl. HR. Rasuna Said Blok X5 Kav. 4-9, Jakarta Selatan 12950; Telp: (021) 52907416-9 Halo Kemenkes: (kode lokal) 1-500567",49659.0,170.0,667290.0,593.0,True,,
"@siticomala_ @akmardippp @addhe_75 kita dulu pingin punya presiden yg ngurusin jalanan pada diurug batu segede bola basket...
yg mau ngurusin sekolahan sd pada reyot..
yg mau ngurusin pasar yg pada becek..
yg mau ngurusin jalan ke kampung kalo mudik yg udh kya track offroad..

..",@PendantOrgonite,2022-04-11 08:00:26,in,,0.0,0.0,@PendantOrgonite,Orgonite Tangerang,"Orgonite Maker . AlgoTrade Maker
Exporter Maker . Retailer Saver",11864.0,210.0,116.0,2.0,False,,
@convomf Bahasa jaksel 😆 Orang jawa riau tapi gabisa bahasa jawa dan melayu 😣😣😣 pas pulang kampung diem aja dengerin orang ngobrol,@lylaciia,2022-04-11 08:00:15,in,,0.0,0.0,@convomf,𝓣𝓲𝓽𝓪 🦋,𝐫𝐚𝐧𝐝𝐨𝐦.,25429.0,286.0,888.0,1.0,False,,
"Siapkan 100 Armada Bus, Jasa Raharja Buka Pendaftaran Mudik Gratis https://t.co/nXMWmL5Qdf 
#Lebaran #Mudik2022",@intimeID,2022-04-11 08:00:15,in,,0.0,0.0,,intime.ID,Indonesia dalam Waktu,274.0,181.0,8.0,2.0,False,,
"Diperlonggarnya Mudik, Disambut Baik Oleh Pengusaha Transportasi https://t.co/w2rhZCsrbG lewat @rri.co.id",@PBudinp,2022-04-11 08:00:12,in,,0.0,0.0,,pbudin,,534.0,16.0,1.0,0.0,False,,
"""Demonstrasi ini rawan ditunggangi dengan isu2 lain""
Lho yo mbok ben pak, lagi sakit hati ditinggal rabi, mau mudik nggak punya duit,mau jualan gorengan susah minyak mahal, terus sisan melu demo yo nggak masalah to pak
kayak nggak pernah nonton konser dangdut benderanya slank aja",@Husni_Efendi,2022-04-11 07:59:45,in,,0.0,0.0,,Husni Efendi,orang kabupaten,5645.0,664.0,2949.0,2.0,False,,
Ingat! Penggunaan Rest Area Bakal Dibatasi saat Mudik Lebaran https://t.co/EFNCWUPOSv,@Bisniscom,2022-04-11 07:59:37,in,,1.0,0.0,,Bisnis.com,"Akun resmi https://t.co/v4FxOxsw5z. Berita, analisis serta navigasi bisnis dan investasi.
Ikuti juga @bisnisindo_id dan @hypeabisid",1371998.0,54.0,1122257.0,1295.0,True,,
"Mudik Lebaran 2022, Jasa Marga: 2,5 Juta Kendaraan Bakal Keluar Jakarta https://t.co/KQSzK6SaJg",@Bisniscom,2022-04-11 07:59:36,in,,1.0,0.0,,Bisnis.com,"Akun resmi https://t.co/v4FxOxsw5z. Berita, analisis serta navigasi bisnis dan investasi.
Ikuti juga @bisnisindo_id dan @hypeabisid",1371998.0,54.0,1122257.0,1295.0,True,,
@Jraehyun cuan buat mudik ya bang,@mvarqk,2022-04-11 07:59:30,in,,0.0,0.0,@Jraehyun,xc ᴋᴏᴋᴏ dwn,"1999 A fictional hard worker friend who known as Mark Lee. Part of Arka, ⲓⲛⳋⳙ⳽, djc, astrolol, dwn, XC, vzm, markverse, ᴋᴏᴋᴏ, bsoul.",39260.0,2488.0,2563.0,4.0,False,,
"RT @forever_lulu: Masyarakat berbondong2 vaksin karena vaksin jd salah satu syarat mudik. 
Bagusnya cakupan vaksin jadi meningkat, herd imm…",@Sesihel,2022-04-11 07:58:44,in,,0.0,1127.0,,Nganu (?) • Tarot reading? Always Open!,"• A tarot reader • Try my latest service, animal communicator service and building up and reviewing your CV! 🤗 • Inq? Please do not hesitate to HMU! ☺ • 🦀🍷",98113.0,1393.0,1186.0,12.0,False,,
RT @unsrifess: unsr! di kalender kan jadwal libur mulai tgl 2-6 mei. kalian yg ngekos ada rencana mudik sbelum lebaran ato pas puasa ini ka…,@makhlukrebahan,2022-04-11 07:57:52,in,,0.0,1.0,,死ら,Marleyan | Slytherin | Main acc,6804.0,291.0,170.0,2.0,False,,
#infobdl : Ratusan Santri Madarijul Ulum Mudik Lebih Awal - radartvnews | Portal Berita Lampung https://t.co/t7czfTDqSJ,@InfoBDL,2022-04-11 07:57:40,in,,0.0,0.0,,Info Bandar Lampung™,"Info Kota Bandar Lampung dan Sekitarnya
kontak email : redaksi.infobdl@gmail.com",95699.0,10671.0,37535.0,36.0,False,,
Moda transportasi yang disediakan adalah bus dan kereta api. https://t.co/As3spPQgHM,@Fortune_IDN,2022-04-11 07:57:32,in,,0.0,0.0,,FORTUNE Indonesia,The Leading Multi-Platform Business-Media for C-Suite and Business Decision Maker in Indonesia | Part of IDN Media,5860.0,18.0,148.0,0.0,False,,
"VIRAL Mau Pulang Kampung, Pengemudi Mobil Heran Tiba-tiba Tersasar ke Area Sawah
 
https://t.co/oDXpXChJO7",@tribunmedan,2022-04-11 07:57:15,in,,0.0,0.0,,Tribun Medan,"Official Twitter Tribun Medan -  Update berita terkini, breaking news, gosip selebritas dan info unik - menarik lainnya",336669.0,1323.0,91514.0,130.0,False,,
Wah bisa nonton pas mudik nih 🤔 https://t.co/KzaesQUFlw,@_geLLy_,2022-04-11 07:56:55,in,,0.0,0.0,,_geLLy_,"♉ 
__typo__
 ~sisordihrepyh - - - - - - - - - - - -  
Katakan TIDAK untuk Serangan Fajar dan Serangan Senja",11249.0,242.0,263.0,1.0,False,,
"Mudik mudiiikk, semoga ada rezekinya",@kgnru_mahwangi,2022-04-11 07:56:52,in,,0.0,0.0,,Sierra - free tag,"anak rantau yang kangen rumah
*pulkam tahun 2022 aamiin*
Banjir BIG WIN 🤲",16725.0,2922.0,140.0,7.0,False,,
"RT @CNNIDdaily: Pemerintah memprediksi, jumlah pemudik mencapai 85 juta orang. Untuk itu, masyarakat diminta memenuhi persyaratan mudik dan…",@Sudra2Nikodemus,2022-04-11 07:56:18,in,,0.0,1.0,,Nikodemus Sudrajat,SerSans,2746.0,1295.0,317.0,0.0,False,,
"Cara Daftar Mudik Gratis Jasa Raharja, Cek Syaratnya https://t.co/IPNUZ6cZi5",@dwynesdaisy,2022-04-11 07:56:03,in,,0.0,0.0,,DwynesDaisy,Become Blogger,75.0,1.0,0.0,0.0,False,,
Enak banget ini buat nanti nemenin mudik bandung karawang 👍🏻 https://t.co/BcQzV9ECzp,@muhadzhar,2022-04-11 07:55:52,in,,0.0,0.0,,Ezhar⚡,Let bygone be bygone,3058.0,205.0,129.0,0.0,False,,
